idx 	 label 	 predict 	 linf_radius 	 prob_lb 	 correct 	 time
0 	 3 	 3 	 0.00314 	 0.756535932600474 	 1 	 0:01:05.795429
50 	 9 	 9 	 0.0117 	 0.9952077660662937 	 1 	 0:01:06.011891
100 	 4 	 -1 	 -0.00194 	 0.3338790506716505 	 0 	 0:01:07.548769
150 	 8 	 8 	 0.0118 	 0.9956094344611147 	 1 	 0:01:08.376860
200 	 5 	 5 	 0.00207 	 0.6769921661238372 	 1 	 0:01:08.371963
250 	 5 	 5 	 0.0095 	 0.9824496388219448 	 1 	 0:01:07.203406
300 	 6 	 6 	 0.0122 	 0.9966935332503597 	 1 	 0:01:06.659314
350 	 9 	 9 	 0.0168 	 0.9999051262616353 	 1 	 0:01:07.717416
400 	 9 	 9 	 0.0159 	 0.9997897508933996 	 1 	 0:01:08.332226
450 	 2 	 2 	 0.00874 	 0.9736573628400461 	 1 	 0:01:06.101856
500 	 4 	 6 	 0.00058 	 0.5511518854334418 	 0 	 0:01:05.993688
550 	 5 	 5 	 0.000793 	 0.5697487612623988 	 1 	 0:01:05.993424
600 	 8 	 8 	 0.00884 	 0.9750480809011804 	 1 	 0:01:05.997398
650 	 3 	 3 	 0.00961 	 0.9834778853486967 	 1 	 0:01:05.987395
700 	 7 	 7 	 0.0111 	 0.9928980091572647 	 1 	 0:01:08.091413
750 	 9 	 9 	 0.0168 	 0.9999051262616353 	 1 	 0:01:05.974242
800 	 7 	 7 	 0.0173 	 0.9999400871493754 	 1 	 0:01:05.975146
850 	 7 	 3 	 0.000555 	 0.5489302162983347 	 0 	 0:01:05.952075
900 	 2 	 -1 	 -0.00211 	 0.3196774757204575 	 0 	 0:01:05.963530
950 	 3 	 3 	 0.00169 	 0.6461944000135988 	 1 	 0:01:05.981267
1000 	 5 	 5 	 0.0143 	 0.9992092639206466 	 1 	 0:01:05.987105
1050 	 3 	 0 	 0.00972 	 0.9844041321509048 	 0 	 0:01:05.991997
1100 	 7 	 0 	 0.000156 	 0.5138335712079726 	 0 	 0:01:05.962660
1150 	 2 	 7 	 0.000302 	 0.5266575401586613 	 0 	 0:01:07.126703
1200 	 8 	 8 	 0.0108 	 0.991750329830722 	 1 	 0:01:07.730210
1250 	 7 	 7 	 0.0117 	 0.99539790348148 	 1 	 0:01:07.359365
1300 	 4 	 3 	 3.18e-05 	 0.5028120960780671 	 0 	 0:01:05.967181
1350 	 4 	 -1 	 -9.89e-05 	 0.491252469393078 	 0 	 0:01:07.099226
1400 	 5 	 3 	 0.00212 	 0.6811238706480797 	 0 	 0:01:05.795016
1450 	 2 	 2 	 0.00593 	 0.9058665833514641 	 1 	 0:01:05.830421
1500 	 1 	 1 	 0.00541 	 0.8848059500897737 	 1 	 0:01:05.812570
1550 	 6 	 6 	 0.0118 	 0.9954401865744621 	 1 	 0:01:05.811052
1600 	 8 	 -1 	 -0.00295 	 0.2563355422405368 	 0 	 0:01:05.782964
1650 	 5 	 5 	 0.0124 	 0.996928794866319 	 1 	 0:01:05.776251
1700 	 5 	 3 	 0.00333 	 0.7699974255641107 	 0 	 0:01:05.830173
1750 	 8 	 8 	 0.00552 	 0.8896899968062243 	 1 	 0:01:05.790389
